libusbmuxd 1.0.10-1
libutil-linux 2.27.1-1
libva 1.6.2-1
libvdpau 1.1.1-2
libvorbis 1.3.5-1
libvpx 1.5.0-3
libwebp 0.5.0-1
libwmf 0.2.8.4-12
libwnck 2.31.0-1
libx11 1.6.3-1
libx264 2:148.20150725-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-1
libxfce4util 4.12.1-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.5.0-1
libxkbfile 1.0.9-1
libxml2 2.9.3-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.28-4
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
licenses 20140629-1
linux 4.3.3-2
linux-api-headers 4.1.4-1
linux-firmware 20151207.bbe4917-1
llvm-libs 3.7.1-1
logrotate 3.9.1-1
lua 5.3.2-1
lvm2 2.02.138-1
lxappearance 0.6.1-1
lxappearance-obconf 0.2.2-3
lxde-common 0.99.0-3
lxde-icon-theme 0.5.1-1
lxdm 0.5.2-2
lxinput 0.3.4-1
lxlauncher 0.2.4-1
lxmenu-data 0.1.4-1
lxmusic 0.4.6-2
lxpanel 0.8.1-1
lxrandr 0.3.0-1
lxsession 1:0.5.2-1
lxtask 0.1.6-1
lxterminal 0.2.0-1
lz4 131-1
lzo 2.09-1
m4 1.4.17-1
make 4.1-1
man-db 2.7.5-1
man-pages 4.04-1
mdadm 3.3.4-1
menu-cache 1.0.1-1
mesa 11.1.1-1
mesa-libgl 11.1.1-1
mkinitcpio 18-2
mkinitcpio-busybox 1.21.1-2
mobile-broadband-provider-info 20151214-1
mpfr 3.1.3.p5-1
mtdev 1.1.5-1
nano 2.5.1-1
ncurses 6.0-4
netctl 1.11-1
nettle 3.1.1-1
network-manager-applet 1.0.10-1
networkmanager 1.0.10-2
nm-connection-editor 1.0.10-1
noto-fonts 20151224-2
npth 1.2-1
nspr 4.11-1
nss 3.21-1
openbox 3.6.1-2
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openresolv 3.7.2-1
openssh 7.1p2-1
openssl 1.0.2.e-1
opus 1.1.2-1
orc 0.4.24-1
os-prober 1.70-1
p11-kit 0.23.2-1
package-query 1.7-1
pacman 4.2.1-4
pacman-mirrorlist 20160110-1
pam 1.2.1-3
pambase 20130928-1
pango 1.38.1-1
patch 2.7.5-1
pciutils 3.4.0-1
pcmanfm 1.2.3-1
pcmciautils 018-7
pcre 8.38-2
perl 5.22.1-1
perl-error 0.17024-1
perl-uri 1.71-1
perl-xml-parser 2.44-2
pinentry 0.9.7-1
pixman 0.32.8-1
pkg-config 0.29-1
polkit 0.113-4
poppler 0.39.0-1
poppler-glib 0.39.0-1
popt 1.16-7
potrace 1.12-1
procps-ng 3.3.11-2
psmisc 22.21-3
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.5.1-1
python-xdg 0.25-3
python2 2.7.11-1
python2-cairo 1.10.0-2
python2-gobject2 2.28.6-12
qt4 4.8.7-6
randrproto 1.5.0-1
readline 6.3.008-3
recordproto 1.14.2-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
ruby 2.3.0-1
run-parts 4.5.1-1
s-nail 14.8.6-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl2 2.0.4-2
sdl2_ttf 2.0.13-1
sdl_image 1.2.12-3
sdl_ttf 2.0.11-3
sed 4.2.2-3
shadow 4.2.1-3
shared-mime-info 1.5-1
slang 2.3.0-1
snappy 1.1.3-2
source-highlight 3.1.8-6
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.10.1-1
startup-notification 0.12-4
sudo 1.8.15-1
sysfsutils 2.1.0-9
systemd 228-3
systemd-sysvcompat 228-3
t1lib 5.1.2-5
taglib 1.10-3
tar 1.28-1
texinfo 6.0-1
texlive-bin 2015.37497-9
texlive-core 2015.38835-1
thin-provisioning-tools 0.5.6-2
ttf-arphic-ukai 0.2.20080216.1-5
ttf-arphic-uming 0.2.20080216.1-5
ttf-baekmuk 2.2-9
ttf-bitstream-vera 1.10-10
ttf-cheapskate 2.0-10
ttf-dejavu 2.34-2
ttf-freebanglafont 20130212-2
